DEBUG - 2016-10-17 09:14:58.662; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:14:58.671; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:14:58.683; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:14:58.756; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:14:58.757; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.221; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:15:42.231; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.237; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:15:42.242; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:15:42.243; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.247; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.250; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.252; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:15:42.270; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:15:42.271; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.273; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.280; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.286; com.avon.hr.expression.accounting.MyAccountingVisitor; visitReturnStatement
DEBUG - 2016-10-17 09:15:42.291; com.avon.hr.expression.accounting.MyAccountingVisitor; visitStart
DEBUG - 2016-10-17 09:15:42.295; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
DEBUG - 2016-10-17 09:15:42.296; com.avon.hr.expression.accounting.MyAccountingVisitor; visitAssignVariable
